date,china,usa,vietnam,hongkong,japan,korea_index,oecd_index,ex_rate,oil
2022-01-01,14029322779,8547301191,5445571229,2862554692,2615236460,99.95760852,99.4635855,1178.948468,70.86013229
2022-02-01,13192772496,7832779882,5291927710,2926610274,2492358276,99.95510727,99.4709687,1182.944169,71.75782219
2022-03-01,14937943076,9110533278,5581994664,3657236668,2792468112,99.94306909,98.5669314,1190.079086,73.41918395
2022-04-01,14789981229,8468521173,5270662701,3214351061,2684882160,99.92876681,96.34504843,1178.543781,74.55918251
2022-05-01,14717359504,8286757581,5265904585,3360807115,2619072360,99.90657272,97.27748789,1177.391591,75.75509026
2022-06-01,14727764067,8992658087,5515786834,3499120147,2739481205,99.88321636,98.55554284,1178.970678,76.87463445
