date,total,china,usa,vietnam,hongkong,japan,korea_index,oecd_index,ex_rate,oil
2004-03-01,21174854848,4030541099,3534532863,290300792,2000495364,1911030362,100.4227,100.0376,1166.33,36.72
2004-04-01,21483356558,4097864960,3544622758,307250394,1922309600,1818283540,100.4166,100.048,1150.81,36.62
2004-05-01,20834258911,4296986705,3559012806,289277128,1680079037,1863901016,100.3633,100.0418,1177.01,40.28
2004-06-01,21657111358,4113746869,4106098212,236283306,1396816496,1696810982,100.2948,100.0306,1158.54,38.05
2004-07-01,21003794339,4479869971,3623191685,242243975,1290155367,1836487014,100.2292,100.0246,1158.12,40.81
2004-08-01,19798968731,4101366165,3470222358,221873125,1375518159,1604839240,100.1611,100.0283,1158.96,44.88
2004-09-01,20831133275,4167502231,3616201442,315686171,1355963458,1728688553,100.0862,100.0453,1147.8,45.94
2004-10-01,22663288550,4554437724,4037437608,322247840,1243990637,1889739717,100.0028,100.0651,1143.52,53.09
2004-11-01,23076611989,4470634073,3809459511,308761531,1255319871,2033609169,99.92953,100.0733,1090.1,48.48
2004-12-01,23197205701,4442741000,3806703574,338156929,1230056169,2032462605,99.88475,100.0597,1051.44,43.26
2005-01-01,22454025470,4478629894,3478719869,263408894,1119491360,1873433140,99.89077,100.0167,1038.32,46.85
2005-02-01,20401096466,4067751554,2943672615,238002074,1040786715,1724000690,99.94366,99.94788,1022.69,48.05
2005-03-01,23952499856,5100932503,3847122869,302120214,1324503664,2090276572,100.0007,99.86745,1007.28,54.63
2005-04-01,22872504728,4934865151,3461143238,320401485,1212049720,1927815252,100.0456,99.79613,1011,53.22
2005-05-01,23122703254,5084553831,3049347129,285902445,1205126325,2112346565,100.1102,99.75757,1002.13,49.87
2005-06-01,23707576151,5431809725,3281113899,358098763,1274052635,2016336223,100.2296,99.77397,1010.68,56.42
2005-07-01,23235522474,5341837566,3274528563,288826751,1223363867,1947968106,100.4096,99.85201,1036.79,59.03
2005-08-01,23342966614,5423374641,3254946142,243933660,1250952115,1904502129,100.6342,99.98091,1020.96,64.99
2005-09-01,24519190675,5540811566,3535927648,306039562,1398080921,2038942000,100.8645,100.148,1029.23,65.55
2005-10-01,25352747930,5493539451,3602662419,259194900,1508431704,2052962512,101.0652,100.3382,1045.89,62.27
2005-11-01,25826192398,5532306470,3939417098,305140369,1518623109,2130222239,101.196,100.5423,1041.51,58.34
2005-12-01,25631716487,5484570863,3673982901,260584878,1455630080,2208632472,101.2322,100.7493,1027.15,59.45
2006-01-01,23257866107,4800572773,3260917892,238741948,1416175027,2107219013,101.1665,100.9414,987.07,65.54
2006-02-01,23786955697,4837638513,3145899213,218776406,1429481611,2061298842,101.0199,101.1104,970.18,61.93
2006-03-01,26840145449,5725007752,3862474560,328075564,1624505954,2180383012,100.8193,101.2531,975.09,62.97
2006-04-01,25590122639,5428864647,3538737276,311323929,1406909748,1940871331,100.5977,101.3709,954.44,70.16
2006-05-01,27934507286,5768058684,3516047123,380229046,1567171438,2310335086,100.3866,101.4641,941.4,70.96
2006-06-01,27948805195,5982891925,3787495412,358970477,1650654125,2363666720,100.2305,101.5449,955.16,70.97
2006-07-01,25774350220,5644307935,3593549623,293986773,1428038248,2077096965,100.1744,101.6305,950.15,74.46
2006-08-01,27287194510,6221785801,3551040488,427164632,1604949314,2230652616,100.2178,101.745,960.72,73.08
2006-09-01,29651247374,6363844539,3828544843,365584437,1846721555,2369865037,100.3001,101.8946,953.68,63.9
2006-10-01,28015958595,6058696205,3304223107,293295569,1703780761,2138081659,100.3718,102.0718,954.23,59.14
2006-11-01,30602312825,6443253915,4029040001,347815856,1718370478,2335096486,100.4087,102.2635,936.22,59.4
2006-12-01,28775382516,6184255618,3765532644,363511561,1582104456,2419448323,100.4281,102.4486,925.75,62.09
