서울,71,20.7,18.4,11.1
경기,151,33.8,32,23.5
강원,39,2.6,3,6.1
충청도,80,10.1,10.7,12.5
경상도,191,22.4,24.8,29.8
전라도,97,8.9,9.8,15.1
제주,13,1.2,1.3,2
